eventDate,stateProvince,county,ElevationInMeters,decimalLatitude,decimalLongitude,scientificName,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Carlina–corymbosa–L.,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Carlina,corymbosa,NA,L.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Festuca–scariosa–Pau,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,scariosa,NA,Pau
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Dactylis–glomerata–subsp.–hispanica–(Roth)–Nyman,Magnoliophyta,Liliopsida,Poales,Poaceae,Dactylis,glomerata,hispanica,(Roth)–Nyman
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Koeleria–vallesiana–Asch.–&–Graebn.,Magnoliophyta,Liliopsida,Poales,Poaceae,Koeleria,vallesiana,NA,Asch.–&–Graebn.
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Quercus–ilex–L.–subsp.–ballota,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,ilex,ballota,NA
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Halimium–umbellatum–Spach–subsp.–viscosum–(Willk.)–O.BolÃ²s–&–Vigo,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Halimium,umbellatum,viscosum,(Willk.)–O.BolÃ²s–&–Vigo
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Retama–sphaerocarpa–Boiss.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Retama,sphaerocarpa,NA,Boiss.
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Ulex–parviflorus–Pourr.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,parviflorus,NA,Pourr.
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Eryngium–campestre–L.,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,campestre,NA,L.
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Thymus–serpylloides–Bory–subsp.–gadorensis–(Pau)–Jalas,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,serpylloides,gadorensis,(Pau)–Jalas
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Berberis–hispanica–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,hispanica,NA,Boiss.–&–Reut.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Erinacea–anthyllis–Link,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Erinacea,anthyllis,NA,Link
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Phlomis–crinita–Cav.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomis,crinita,NA,Cav.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Thymus–baeticus–Boiss.–ex–Lacaita,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,baeticus,NA,Boiss.–ex–Lacaita
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Santolina–rosmarinifolia–L.,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Santolina,rosmarinifolia,NA,L.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Hieracium–pilosella–subsp.–tricholepium–NÃ¤geli–&–Peter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,pilosella,tricholepium,NÃ¤geli–&–Peter
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Dactylis–glomerata–subsp.–hispanica–(Roth)–Nyman,Magnoliophyta,Liliopsida,Poales,Poaceae,Dactylis,glomerata,hispanica,(Roth)–Nyman
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Koeleria–vallesiana–Asch.–&–Graebn.,Magnoliophyta,Liliopsida,Poales,Poaceae,Koeleria,vallesiana,NA,Asch.–&–Graebn.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Festuca–indigesta–Boiss.,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,indigesta,NA,Boiss.
02/09/2004,AL,ABLA,1389,"37,10451147","-2,770072789",Paronychia–suffruticosa–DC.,Magnoliophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Paronychia,suffruticosa,NA,DC.
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Crataegus–monogyna–subsp.–brevispina–(Kunze)–Franco,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,monogyna,brevispina,(Kunze)–Franco
04/10/2004,GR,ALDEIRE,2134,"37,11820792","-3,116132530",Acinos–alpinus–Moench–subsp.–meridionalis–(Nyman)–P.W.Ball,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Acinos,alpinus,meridionalis,(Nyman)–P.W.Ball
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Carlina–corymbosa–L.,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Carlina,corymbosa,NA,L.
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Festuca–scariosa–Pau,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,scariosa,NA,Pau
31/08/2004,AL,ABLA,1249,"37,09546635","-2,750351047",Dactylis–glomerata–subsp.–hispanica–(Roth)–Nyman,Magnoliophyta,Liliopsida,Poales,Poaceae,Dactylis,glomerata,hispanica,(Roth)–Nyman
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Berberis–hispanica–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,hispanica,NA,Boiss.–&–Reut.
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Erinacea–anthyllis–Link,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Erinacea,anthyllis,NA,Link
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Marrubium–supinum–Hu.–ex–C.Pei,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Marrubium,supinum,NA,Hu.–ex–C.Pei
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Artemisia–campestris–Ledeb.–var.–glutinosa–(J.Gay–ex–Besser)–Y.R.Ling,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,campestris,glutinosa,(J.Gay–ex–Besser)–Y.R.Ling
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Koeleria–vallesiana–Asch.–&–Graebn.,Magnoliophyta,Liliopsida,Poales,Poaceae,Koeleria,vallesiana,NA,Asch.–&–Graebn.
30/09/2004,GR,ALDEIRE,2085,"37,12271505","-3,116128158",Prunus–ramburei–Boiss.,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,ramburei,NA,Boiss.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Pinus–uncinata–Steud.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,uncinata,NA,Steud.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Genista–umbellata–Salzm.–ex–DC.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,umbellata,NA,Salzm.–ex–DC.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Eryngium–campestre–L.,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,campestre,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Marrubium–supinum–Hu.–ex–C.Pei,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Marrubium,supinum,NA,Hu.–ex–C.Pei
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Hieracium–pilosella–subsp.–tricholepium–NÃ¤geli–&–Peter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,pilosella,tricholepium,NÃ¤geli–&–Peter
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2295,"37,08212809","-3,129398753",Festuca–indigesta–Boiss.,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,indigesta,NA,Boiss.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Pinus–nigra–Aiton,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,nigra,NA,Aiton
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Hormathophylla–spinosa–(L.)–P.KÃ¼pfer,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Hormathophylla,spinosa,NA,(L.)–P.KÃ¼pfer
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Euphorbia–nevadensis–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,nevadensis,NA,Boiss.–&–Reut.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Hieracium–pilosella–subsp.–tricholepium–NÃ¤geli–&–Peter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,pilosella,tricholepium,NÃ¤geli–&–Peter
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2340,"37,05488166","-3,149147295",Festuca–indigesta–Boiss.,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,indigesta,NA,Boiss.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Pinus–nigra–Aiton,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,nigra,NA,Aiton
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Berberis–hispanica–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,hispanica,NA,Boiss.–&–Reut.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Hormathophylla–spinosa–(L.)–P.KÃ¼pfer,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Hormathophylla,spinosa,NA,(L.)–P.KÃ¼pfer
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Sanguisorba–minor–Scop.,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,minor,NA,Scop.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Euphorbia–characias–L.,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,characias,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Bupleurum–spinosum–Gouan,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,spinosum,NA,Gouan
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Digitalis–purpurea–L.,Magnoliophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Digitalis,purpurea,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Hieracium–pilosella–subsp.–tricholepium–NÃ¤geli–&–Peter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,pilosella,tricholepium,NÃ¤geli–&–Peter
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Festuca–indigesta–Boiss.,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,indigesta,NA,Boiss.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2162,"37,04601083","-3,149714716",Acinos–alpinus–Moench–subsp.–meridionalis–(Nyman)–P.W.Ball,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Acinos,alpinus,meridionalis,(Nyman)–P.W.Ball
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Pinus–nigra–Aiton,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,nigra,NA,Aiton
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Berberis–hispanica–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,hispanica,NA,Boiss.–&–Reut.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Hormathophylla–spinosa–(L.)–P.KÃ¼pfer,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Hormathophylla,spinosa,NA,(L.)–P.KÃ¼pfer
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Bupleurum–spinosum–Gouan,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,spinosum,NA,Gouan
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Hieracium–pilosella–subsp.–tricholepium–NÃ¤geli–&–Peter,Magnoliophyta,Magnoliopsida,Asterales,Asteraceae,Hieracium,pilosella,tricholepium,NÃ¤geli–&–Peter
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2194,"37,04599620","-3,160892956",Stipa–tenacissima–L.,Magnoliophyta,Liliopsida,Poales,Poaceae,Stipa,tenacissima,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Pinus–nigra–Aiton,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,nigra,NA,Aiton
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Pinus–sylvestris–Lour.,Pinophyta,Pinopsida,Pinales,Pinaceae,Pinus,sylvestris,NA,Lour.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Berberis–hispanica–Boiss.–&–Reut.,Magnoliophyta,Magnoliopsida,Ranunculales,Berberidaceae,Berberis,hispanica,NA,Boiss.–&–Reut.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Hormathophylla–spinosa–(L.)–P.KÃ¼pfer,Magnoliophyta,Magnoliopsida,Brassicales,Brassicaceae,Hormathophylla,spinosa,NA,(L.)–P.KÃ¼pfer
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Sanguisorba–minor–Scop.,Magnoliophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,minor,NA,Scop.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Genista–versicolor–Boiss.–ex–Steud.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,versicolor,NA,Boiss.–ex–Steud.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Euphorbia–characias–L.,Magnoliophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,characias,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Eryngium–campestre–L.,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,campestre,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Bupleurum–spinosum–Gouan,Magnoliophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,spinosum,NA,Gouan
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Phlomis–crinita–Cav.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Phlomis,crinita,NA,Cav.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Thymus–zygis–L.,Magnoliophyta,Magnoliopsida,Lamiales,Lamiaceae,Thymus,zygis,NA,L.
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Festuca–scariosa–Pau,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,scariosa,NA,Pau
27/10/2004,GR,ALPUJARRA–DE–LA–SIERRA,2022,"37,03703583","-3,160964005",Festuca–indigesta–Boiss.,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,indigesta,NA,Boiss.
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Quercus–ilex–L.–subsp.–ballota,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,ilex,ballota,NA
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Cistus–albidus–L.,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Cistus,albidus,NA,L.
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Halimium–umbellatum–Spach–subsp.–viscosum–(Willk.)–O.BolÃ²s–&–Vigo,Magnoliophyta,Magnoliopsida,Malvales,Cistaceae,Halimium,umbellatum,viscosum,(Willk.)–O.BolÃ²s–&–Vigo
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Dorycnium–pentaphyllum–Scop.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Dorycnium,pentaphyllum,NA,Scop.
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Genista–umbellata–Salzm.–ex–DC.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Genista,umbellata,NA,Salzm.–ex–DC.
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Retama–sphaerocarpa–Boiss.,Magnoliophyta,Magnoliopsida,Fabales,Fabaceae,Retama,sphaerocarpa,NA,Boiss.
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Festuca–scariosa–Pau,Magnoliophyta,Liliopsida,Poales,Poaceae,Festuca,scariosa,NA,Pau
10/08/2004,AL,ALSODUX,1675,"37,07274149","-2,699847056",Koeleria–vallesiana–Asch.–&–Graebn.,Magnoliophyta,Liliopsida,Poales,Poaceae,Koeleria,vallesiana,NA,Asch.–&–Graebn.
13/08/2004,AL,ALSODUX,1508,"37,06827414","-2,694251410",Quercus–ilex–L.–subsp.–ballota,Magnoliophyta,Magnoliopsida,Fagales,Fagaceae,Quercus,ilex,ballota,NA
